Hindi,English
टॉम को एक लड़की से प्यार हो गया जिसे वह बॉस्टन में मिला था।,tom fell in love with a girl he met in boston
टॉम को बताओ की मेरी क्या पहनी हुई थी।,tell tom what mary was wearing
तुम कितने जल्दी पढ़ सकता हो,how fast can you read
मुझे पता था कि कुछ बुरा होने वाला था।,i knew that something horrible was about to happen
टॉम अब हमारे साथ रहेगा।,tom will stay with us for now
टॉम का घर टूट पड़ रहा है।,tom's house is falling apart
हम अच्छे गायक नहीं हैं।,we're not good singers
मुझे लगता है कि टॉम उसे फिर से नहीं करेगा।,i think tom won't do it again
उसके प्रथम पत्नी के मौत के बाद टॉम ने फिर से शादी की।,tom remarried after his first wife died
टॉम की पहली पत्नी का उमर उसके उम्र से ज़्यादा था।,tom's first wife was much older than him
यदि तुम उसे पूछो तो भी टॉम उसे नहीं करेगा।,tom won't do that even if you ask him
जब तक तुम टॉम को नहीं पूछोगे तब तक वह उसे नहीं करेगा।,tom won't do that unless you ask him
हम बहुत एक गायक नहीं हैं।,we're not very good singers
तुम एक दम टॉम के जैसे नहीं हो।,you're not like tom at all
दुबारा कहने की हिम्मत भी न करना।,don't you dare say that again
तुम्हारे विचार में क्या टॉम ने सच कहा,do you think that tom told the truth
टॉम जैसे किसी व्यक्ति से प्यार करना आसान नहीं है।,it's not easy to love someone like tom
मुझे पता है कि टॉम क्या कहेगा।,i know what tom is going to say
तरणताल में कोई नहीं है।,there's nobody in the pool
शादी से पहले क्या तुम मेरे अभिभावकों को जानते थे,did you know my parents before they got married
टॉम ने मैरी को गरम भोजन परोसा।,tom offered mary a hot meal
टॉम को किस तरह के खेल पसंद हैं,what kind of games does tom like
सभी तुमसे थक गए हैं।,everyone's tired of you
टॉम मुझसे ज़्यादा कमाता है।,tom earns a lot more than me
बिल्ली सोती है।,the cat is sleeping
एक चोर ईमानदार लोगों में विश्वास नहीं करता है।,a thief doesn't believe in honest people
ज़रूर। आगे बढ़ो।,by all means go ahead
क्या तुम इस सप्ताहांत को कुछ करना चाहते हो,would you like to do something this weekend
आप लोग पूरे रास्ते सफ़र करके थक गए होंगे।,after that journey on the road you all must be tired
मैं इसे फ़्रिज में रख दूँगा।,i'll put this in the fridge
मेरी ने बर्तन नहीं धोए।,mary didn't do the dishes
मैं इच्छानुसार अमीर नहीं हूँ।,i'm not as rich as i'd like to be
सीता की माँ अच्छे पकोड़े बना सकतीं हैं।,sita's mother can make good fritters
टॉम और मैरी बिलकुल भी धार्मिक नहीं थे।,tom and mary are not religious at all
हम वहाँ अक्सर जाते हैं।,we go there frequently
वे आपको पहचानती हैं क्या,do they know you
मैरी को एक जर्मन अफ़सर से प्यार हो गया।,mary fell in love with a german officer
क्या वे आपको पहचानती हैं,do they know you
हमें टॉम की फ़िकर हो रही थी।,we were worrying about tom
उसके पास पैसा हे पर वह सुखी नहीं है।,he is not happy although he has money
आपके पिताजी क्या करते हैं,what does your father do
उन्हें ढूँढ़िए।,please find them
ईसप की कथाओं में खट्टे अंगूर नाम की एक कथा है।,in aesop’s fables there is a tale titled “sour grapes”
यहाँ एक सेतु हुआ करता था।,there used to be a bridge here
टॉम को आज सुबह बुख़ार नहीं है।,tom does not have a fever this morning
मैंने उन्हें तैरते हुए देखा।,i saw them swimming
यह मैं उनके लिए कर रहा हूँ।,i'm doing this for them
मैंने तुम्हारे लिए एक टैबलेट ख़रीदा है।,i bought a tablet for you
मैं एक पुराने मकान में रहती हूँ।,i live in an old house
मुझे कॉफ़ी पसंद नहीं है।,i don't like coffee
लैला पर एक शराबी ने यौन शोषण किया।,a drunkard raped laila
यदि तुम उसे पूछो तो भी टॉम उसे नहीं करेगा।,tom won't do that even if you ask him to
जब तक तुम टॉम को नहीं पूछोगे तब तक वह उसे नहीं करेगा।,tom won't do that unless you ask him to
कृपया मुझे कैंची लाके दीजिये।,get me the scissors please
नानीजी को बच्चे का ख्याल रखने दो।,let grandma take care of the kid
दादीजी को बच्चे का ख्याल रखने दो।,let grandma take care of the kid
यदि वह बुरा गंदा या गलत न हो तो ठीक है।,if it isn't a bad dirty or wrong thing then it's alright
हमारे बटुआ को चुराया गया।,our wallets were stolen
वह मुझे यह बताने के लिए यहाँ दौड़कर आया।,he ran here to tell me this
मैं कल घर पर नहीं रहूँगा।,i will not be at home tomorrow
आज़ादी पाने का सत्यार्थ क्या है ऐसा लग सकता है कि कोई चालाकी से एक पिंजरे से निकला है पर वह किसी दूसरे बड़े पिंजरे में अटक जाता है।,what does obtaining freedom really mean it may seem like cleverly escaping out of a cage but one just ends up in another bigger cage
सभी तुमसे थक गए हैं।,everybody's tired of you
आपको अपना पास्पोर्ट दिखाना होगा।,you must show your passport
क्या आपके पास एक गाड़ी है,do you have a car
क्या तुम्हारे पास एक गाड़ी है,do you have a car
उसने अपने दोस्त को पुलिस से छुपाया।,he hid his friend from the police
अपने गाड़ी के अंदर रहना।,stay in your cars
वे बॉस्टन से नहीं थे।,they weren't from boston
फ़्रेंच एक अनिवार्य विषय है।,french is a required subject
क्या आप कृपया चिट्ठी पे एक साठ पैसे का डाक टिकिट लगवा देंगे,will you please stick a -cent stamp on the envelope
टॉम मेरी से मिलने के एक मौक़े के लिए मर रहा है।,tom is dying for a chance to meet mary
नब्बे होने के बावजूद टॉम के नानाजी एक सक्रिय जीवन बिताते हैं।,at  tom's grandfather still leads a very active life
टॉम को आज सुबह बुख़ार नहीं है।,tom doesn't have a fever this morning
हमें टॉम की फ़िकर हो रही थी।,we were worried about tom
टॉम और मैरी बिलकुल भी धार्मिक नहीं थे।,tom and mary aren't religious at all
उसका तो सवाल ही नहीं उठता।,that's out of the question
वह तो विचार के बाहर है।,that's out of the question
बहुत खुशी की बात है।,this is really good news
मैंने उसे कहा था वह रस्सी न छोड़े परंतु उसने छोड़ दी।,i told him not to release the rope but he let it go
मैं भी जाऊँगा।,i will go too
मैं रूस में रहती हूँ और आप। में यूक्रेन में।,“i live in russia and you“ “i live in ukraine“
बारिश रुकी।,the rain stopped
मैं ब्राज़ील से हूं  और तुम,i’m from brazil what about you
क्या आप हॉलैंड से हैं,are you from holland
मैं वहाँ महीने में एक बार जाती हूँ।,i go there once a month
मैं भी जाऊँगा।,i'll go too
कल बारिश गिरेगी।,it'll rain tomorrow
उन्हें एक-दूसरे से प्यार हो जाएगा।,they'll fall in love with each other
सड़क के सामने एक चर्च है।,there's a church across the street
सड़क के सामने एक गिरजाघर है।,there's a church across the street
तुम थक गए हो है ना,you're tired aren't you
बढ़िया।,marvellous
तुम नहीं आ रहे हो ना,you're not coming are you
तुम नहीं आ रहे हो ना,you aren't coming are you
जब भी वो लम्बी हील्स पहनती है उसकी टांगें हमेशा दर्द करती है।,whenever she wears high heels her legs hurt
टॉम ने कहा कि वे मैरी की मदद नहीं कर सकता।,tom said he couldn't help mary
आसमान में कई सितारे नजर आ रहे थे।,there were several stars to be seen in the sky
अभी इधर आओ।,get over here now
उन्होंने कहा कि वह बहुत थकान महसूस कर रहे थे।,they said they felt very tired
उसने बर्तन धोए और अपने लिए कॉफ़ी बनायी।,she washed the dishes and then made herself coffee
उसका चेहरा मैं अब तक भुला नहीं पाया हूँ।,i haven't been able to forget his face
काफी महीनों के बाद यहां पे मूसलाधार बारिश हुई है।,after many months it has rained heavily here
मुझे यह पूरी भाषा सीखने में कोई जल्दी नहीं है।,i'm not in a rush to learn this entire language
राष्ट्रपति ने अचानक से इसतीफ़ा दे दिया।,the president suddenly resigned
क्या आपने खाना खा लिया ,have you eaten your food
पाकिस्तान की जय हो।,long live pakistan
पाकिस्तान की जय हो।,victory to pakistan
बच्चों को भी यह पता है।,even children know this
इस बात को क्योंकि केवल एक ही इनसान जानता है यह बहुत महत्वपूर्ण नहीं है।,because only one person knows this it isn't very important
स्पष्ट कर।,specify
आप कैसे हैं बहुत बढ़िया। और आप बहुत बढ़िया शुक्रिया।,how are you great and you great thank you
मैं रूस में रहता हूं। और तुम मैं यूक्रेन में।,i live in russia what about you i live in ukraine
मुझे आपसे प्यार हो गया।,i fell in love with you
उसने उस दिन एक सुन्दर ड्रेस पहनी थी।,she was wearing a beautiful dress that day
इसलिए तो वह वहां से ना हीं निकल सकते थे न उनकी खैरो खैरियत पूछ सकता था,that's why he couldn't get out of there or ask whether they were fine
लानत है,damn it
मुझे लगता है तुम बहुत बढ़िया करोगे।,i think you're going to do great
वह जो भी करता है उसके पिता के लिए कम पड़ जाता है।,every effort he makes falls short in the eyes of his father
क्या टॉम मैरी से ज़्यादा अमीर है,is tom richer than mary
अगर बाकी लोग कर भी दें मैं नहीं करूँगा।,even if all others do i will not
मैं तुमसे बदगुमानी नहीं करता।,i don't distrust you
क्या आपको नहीं लगता कि हमें थोड़ी ज़्यादा देर रुकना चाहिए था,don't you think that we should've stayed a little longer
टॉम और मैरी के पास एक पोता और तीन पोतियां हैं।,tom and mary have one grandson and three granddaughters
तुम्हें ये किताब भी पढ़नी पड़ेगी।,you must read this book also
मैं सबका समय कैसे खराब कर सकता हूँ,how can i waste everyone's time
अभी तक कोई नहीं मरा।,no one has died yet
विद्यालय में सिर्फ सोलह प्रतिशत अध्यापक औरतें हैं।,only sixteen percent of the teachers at the school are female
उनके हाथ ठंडे थे।,their hands were cold
सच्चा धन वह नहीं है जो हमारे पास है बल्कि वह है जो हमारे अंदर है।,true wealth does not consist of what we have but in what we are
अपना पर्स मत खोना।,don't lose your purse
वाह तुम बड़े विद्वान होगे।,wow you must be a genius
मुझे लगता है की शायद मैरी उसे करने में इतनी भी अच्छी नहीं जितना तुम्हें लगता है।,i think mary probably isn't as good at doing that as you think she is
मुझे पता था कि टॉम कभी न कभी गिरफ्तार होने वाला था।,i knew tom was going to be arrested sooner or later
मुझे स्वच्छ हवा में साँस लेना पसंद है।,i like to breathe the clean air
मुझे पहले से ही यह सब पता है।,i know all this already
तुम किसके साथ क्रिसमस बिताओगे,who will you spend christmas with
तुमने ऐसा क्यों किया मेरे पास और कोई विकल्प नहीं था।,why did you do that i had no choice
टॉम को मैरी अजीब लगती है।,tom thinks that mary is strange
ज़ाहिर है की केट की आवाज़ दूसरी लड़कियों से अलग है।,kate's voice is clearly different from the other girls'
तुम कुछ ज़्यादा ही कॉफ़ी पीते हो।,you drink too much coffee
टॉम सिरदर्द के साथ उठा।,tom woke up with a headache
क्या तुम उसे आज रात के लिए देख सकते हो,can you watch her tonight
टॉम बैठना चाहता है।,tom wants to sit down
मुझे स्नानघर का प्रयोग करना है।,i have to go to the bathroom
मुझे गुसलखाना जाना है।,i have to go to the bathroom
मुझे शौचालय जाना है।,i have to go to the bathroom
मुझे शौचालय का प्रयोग करना है।,i have to go to the bathroom
मुझे बाथरूम जाना है।,i have to go to the bathroom
उन्होनें क़सम खाई की वे बेग़ुनाह थे।,they swore that they were innocent
अगर तुम नहीं जाओगे तो फ़िर मैं भी नहीं जाउंगी।,if you aren't going i'm not going either
चिंता मत करो। मैं उसे बता दूंगा।,don't worry i'll tell him
आज रात मुझे बड़े अजीब सपने आये।,i had some really weird dreams tonight
तुम दूसरों के मसलों में अपनी नाक मत घुसाओ।,don't meddle in things that are none of your business
उसे काम नहीं मिला।,he didn't find work
हमारी भाषा में रूचि रखने के लिए धन्यवाद्।,thank you for your interest in our language
सो जाओ,sleep
वे फ़िल्म देख रहे हैं।,they're watching a movie
इसका तुमसे कोई लेना-देना नहीं है।,that's no business of yours
मेरे माँ-बाप डॉक्टर हैं।,my parents are both doctors
टॉम कल आ रहा है ना,tom is arriving tomorrow isn't he
मुझे उस पर भरोसा न करना चाहिए था।,i shouldn't have trusted her
भविष्य के लिए तैयारी करो क्योंकि अपनी बाकी की ज़िन्दगी तुम उस ही में बिताने वाले हो।,plan for the future because that's where you are going to spend the rest of your life
मुझे पता था टॉम कुछ बेवकूफ़ी करेगा।,i knew tom would do something stupid
तुम पुर्तगाली बोलते हो,do you speak portuguese
मैं रसोई में हूँ।,i'm in the kitchen
टॉम ने अपनी टीशर्ट उतारी।,tom took his t-shirt off
वह क्या सीख रहा है,what is he learning
वे क्या सीख रहे हैं,what is he learning
उन दोनों ने मुड़ कर टॉम की ओर देखा।,they both turned and looked at tom
इसे बस थोड़े प्यार की ज़रूरत है।,it just needs a little love
दुशान्बे ताजिकिस्तान की राजधानी है।,dushanbe is tajikistan's capital
अल्जेरियन लोगों का इसके बारे में क्या विचार है,what do algerians think about this
वह किसने मंगाया,who ordered that
उसने कहाँ की उसे फ़्रांसीसी नहीं आती।,she said she didn't know french
यान्नी को अपनी गाड़ी बेचनी है।,yanni wants to sell his car
यान्नी अपनी गाड़ी बेचना चाहता है।,yanni wants to sell his car
वे सब पागल हैं क्या,are they all nuts
मुझे प्रसिद्ध नहीं बनना है।,i don't want to become famous
मैं प्रसिद्ध नहीं बनना चाहता हूँ।,i don't want to become famous
मैं प्रसिद्ध नहीं बनना चाहती हूँ।,i don't want to become famous
टॉम के पास नयी नौकरी है।,tom has a new job
तुम्हारे अलावा कोई भी भूखा नहीं था।,nobody was hungry except you
आपके अलावा कोई भी भूखा नहीं था।,nobody was hungry except you
उसने उसे लाथ मारने की कोशिश की।,he tried to kick her
मुसलिम तो वह है।,he's the muslim
टॉम को लगता है की वह बिल्ली है।,tom thinks she's a cat
मैं तुम्हें कोई भी दवाई नहीं दूंगा।,i won't give you any medicine
मैं तुम्हें कोई भी दवाई नहीं दूंगी।,i won't give you any medicine
मैं आपको कोई भी दवाई नहीं दूंगा।,i won't give you any medicine
मैं आपको कोई भी दवाई नहीं दूंगी।,i won't give you any medicine
उस रात ठंड नहीं थी।,it wasn't cold that night
उसने अपने कुत्ते का नाम ट्रम्प रखा।,he named his dog trump
उन्होंने अपने कुत्ते का नाम ट्रम्प रखा।,he named his dog trump
टॉम को मदद मिल रही है।,tom is getting help
टॉम के पास बहुत सारा पैसा है।,tom has lots of money
उसे मेरे सबसे अच्छे दोस्त से प्यार हो गया।,he fell in love with my best friend
मैं वह पूरी तरह से समझ सकता हूँ।,i fully understand that
मैं वह पूरी तरह से समझ सकती हूँ।,i fully understand that
मैं उसका बर्ताव नहीं सह सकता।,i can't take his behaviour
मैं उसका बर्ताव नहीं सह सकती।,i can't take his behaviour
यह मेन्नाद का घर है।,this is mennad's home
सामी ने भाग निकलने की कोशिश की।,sami tried to escape
मैंने तुम्हें बेवकूफ़ नहीं कहाँ।,i didn't call you stupid
मैंने आपको बेवकूफ़ नहीं कहाँ।,i didn't call you stupid
टॉम क्या गा रहा है,what's tom singing
मेन्नाद की बहन मिस्र में है।,mennad's sister is in egypt
उसे अपने जूते नहीं मिल रहे थे।,he couldn't find his shoes
कहने के लिये कुछ बचा ही नहीं है,there is nothing left to say
उसने उसे नहीं देखा।,he didn't see him
वैसे भी सबको पहले से ही पता है।,everyone already knows anyway
तुमने उसे कब पूछा,when did you ask him
आपने उसे कब पूछा,when did you ask him
मैं वह ड्रेस खरीदना चाहता हूँ।,i want to buy the dress
मैं वह ड्रेस खरीदना चाहती हूँ।,i want to buy the dress
मैं एक नाटक पढ़ रहा हूँ।,i am reading a play
बेल्जियम में कौनसी भाषाएं बोली जाती हैं,what languages do they speak in belgium
जिराफ़ तैर नहीं सकते।,giraffes can't swim
प्यार का धर्म स्थापित करने का समय आ गया है।,it's time to establish the religion of love
वह कहती है की तुम झूठ बोल रहे हो।,she says you're lying
वह कहती है की तुम झूठ बोल रही हो।,she says you're lying
वह कहती है की आप झूठ बोल रहे हैं।,she says you're lying
वह कहती है की आप झूठ बोल रही हैं।,she says you're lying
तो यह है तातोएबा।,so that's tatoeba
सामी के पास पर्याय नहीं है।,sami doesn't have a choice
बिस्तर पर कूदना बंद करो।,stop jumping on the bed
मैं पहुँचते ही तुम्हें फ़ोन करूँगा।,i'll phone you when i arrive
मैं पहुँचते ही तुम्हें फ़ोन करूँगी।,i'll phone you when i arrive
हम हर एक निर्णय एक साथ लेते हैं।,we make every decision together
हम हर एक फैसला एक साथ लेते हैं।,we make every decision together
मैरी सीख रही है।,mary is learning
हम वहाँ क्या करने वाले हैं,what are we going to do there
वह अमीर लगता है।,he seems rich
वे अमीर लगते हैं।,he seems rich
मैरी ने वह अपने आप से करने की कोशिश की।,mary tried to do it by herself
टॉम उनसे बात नहीं करेगा।,tom won't speak to them
टॉम को मैरी पसंद है और मुझे भी।,tom likes mary and so do i
लैला गर्भवती है।,layla is pregnant
टॉम विजेता बनना चाहता है।,tom wants to be the winner
मैंने उसे एक ईमेल भेजा।,i sent her an email
मैंने उन्हें एक ईमेल भेजा।,i sent her an email
मैं ब्लॉगर हूँ।,i'm a blogger
उसने फ़ोन क्यूँ किया,why did she call
उन्होंने फ़ोन क्यूँ किया,why did she call
मुझ पर हमला हुआ है।,i've been attacked
उसकी माँ हम पर गुस्सा हो गई।,her mother became mad at us
अपने आप से प्यार करो वेगन बनो,love yourselves go vegan
हम फिर से जीत गये हैं।,we have won again
यह हमारा राज़ है।,it's our secret
उसने अपना पहला हिजाब खरीदा।,she bought her first hijab
क्या टॉम सच में कैनेडियन है,is tom really canadian
क्या तुम्हें लगता है कि तुम मेरी मदद कर सकते हो,do you think you could help me
क्या तुम्हें लगता है कि तुम मेरी मदद कर सकती हो,do you think you could help me
वह हमें काग़ज़ बेचता है।,he sells us paper
वे हमें काग़ज़ बेचते हैं।,he sells us paper
मुझे रुकना होगा।,i'll have to wait
घर से बाहर मत निकलना।,don't leave the house
घर से बाहर मत निकलिये।,don't leave the house
मैं गाता रहा।,i kept on singing
मैं गाती रही।,i kept on singing
सामी और लैला मेरी तरफ़ घूर रहे हैं।,sami and layla are staring at me
मुझे वे दिख रहे हैं।,i see them
बहुत अजीब परिवार है।,it's a very strange family
वे तुम्हें भूलेंगे नहीं।,they won't forget you
वे आपको भूलेंगे नहीं।,they won't forget you
टॉम को शायद तुम पसंद नहीं हो।,tom probably doesn't like you
टॉम को शायद आप पसंद नहीं हैं।,tom probably doesn't like you
मैंने उसे कुछ नहीं दिया।,i didn't give anything to him
मैंने उन्हें कुछ नहीं दिया।,i didn't give anything to him
मैं सैंडविच लाऊँगा।,i'll bring sandwiches
मैं सैंडविच लाऊँगी।,i'll bring sandwiches
मेरे पास कोई विकल्प नहीं है।,i have no alternative
उसने अपने आप को बचाया।,he saved himself
उन्होंने अपने आप को बचाया।,he saved himself
तुम्हारा भी अच्छा है और उसका भी अच्छा है।,yours is good and his is also good
वह थका हुआ लग रहा है।,he seems tired
सिगरेट पीना यहाँ मना है।,smoking is not allowed here
नाचो।,dance
जिम आज नहीं आयेगा।,jim won't come today
आप सब कहाँ थे,where are you all
आइसलैण्ड एक द्वीप है।,iceland is an island
पुरुष सब एक-जैसे होते हैं,men are all the same
टॉम ने थोड़ा मक्खन ख़रीदा।,tom bought some butter
हमारा क्लब पूरी रात खुला है।,our club is open all night
मैं टॉम को खोना नहीं चाहता था।,i didn't want to lose tom
मैं टॉम को खोना नहीं चाहती थी।,i didn't want to lose tom
उसने देखा नहीं।,she didn't see it
उन्होंने देखा नहीं।,she didn't see it
हमें पीछे मुड़ना चाहिये।,we must turn back
वह अध्यापक बनने के लायक नहीं है।,he's not fit to be a teacher
न्यूयॉर्क दुनिया का सबसे बड़ा शहर है।,new york is the world's biggest city
तुमने मुझे फँसाया क्यूँ,why did you trick me
आपने मुझे फँसाया क्यूँ,why did you trick me
ये दो मेरे साथ हैं।,these two are with me
स्कुरा बिलकुल जैनेट जैक्सन जैसी दिखती है।,skura looks just like janet jackson
रोने से मेकअप ख़राब हो जाता है।,crying ruins your make-up
लुसी को मैरी मिल गयी।,lucy found mary
यह मेरी पहली गाड़ी है।,this is my first car
मुझे पता था कि टॉम नहीं कहेगा।,i knew tom would say no
सामी लैला के दुकान में गया।,sami went to layla's store
तुम्हें कुछ मिल जाये तो मुझे बता देना।,let me know if you find anything
कुछ मिल जाये तो मुझे बता देना।,let me know if you find anything
कुछ मिल जाये तो मुझे बता दीजिए।,let me know if you find anything
आपको कुछ मिल जाये तो मुझे बता दीजिए।,let me know if you find anything
टॉम स्कूल का अध्यापक है।,tom is a schoolteacher
टॉम हमारे साथ रहने वाला है।,tom is going to live with us
यह एक शांत जगह है।,this is a peaceful place
तुम स्कूल जाते हो।,you go to school
तुम स्कूल जाती हो।,you go to school
आप स्कूल जाते हैं।,you go to school
मेरा घोड़ा दिखाई दे रहा है क्या,do you see my horse
मैरी ऊँची और पतली है।,mary is tall and thin
टॉम के गाल लाल हो गये।,tom's cheeks turned red
तुम्हें कौनसे रूसी शब्द पता हैं,what russian words do you know
आपको कौनसे रूसी शब्द पता हैं,what russian words do you know
मैं बात करने के लिये तैयार हूँ।,i'm ready to talk
तुम जवाब चाहते हो है ना,you want answers don't you
आप जवाब चाहते हैं है ना,you want answers don't you
तुम जवाब चाहती हो है ना,you want answers don't you
उसे एक महीने में किसी ने भी नहीं देखा है।,nobody's seen her in a month
टॉम बहुत अच्छा आदमी था।,tom was a very good man
पिछले साल मैंने एक नयी गाड़ी ख़रीदी।,i purchased a new car last year
वे चौंक गये है।,they are surprised
वह ख़ुद की जान लेने वाली है।,she's going to kill herself
बहुत सारे लोग टॉम के लिये रुके हैं।,a lot of people are waiting for tom
बहुत सारे लोग टॉम की प्रतीक्षा कर रहे हैं।,a lot of people are waiting for tom
बहुत सारे लोग टॉम का इंतज़ार कर रहे हैं।,a lot of people are waiting for tom
टॉम ने मुझे मेरी स्कूल के बारे में पूछा।,tom asked about my school
यान्नी ने अपने पापा को बताया।,yanni told his dad
मैं बस वही करता हूँ जो मैं करना चाहता हूँ।,i just do what i want to do
मैं बस वही करती हूँ जो मैं करना चाहती हूँ।,i just do what i want to do
सामी ने एक योजना बनायी।,sami made a plan
टॉम किसान था।,tom was a farmer
इंग्लिश हॉर्न बजाना आसान नहीं होता।,playing the english horn isn't easy
टॉम ने झंडे को सलामी दी।,tom saluted the flag
सोमवार को हो जायेगा।,it'll be done on monday
इस घर को बनाने में हमें तीन साल लग गये।,it took us three years to build this house
टॉम और मैरी वकील बन गये।,tom and mary became lawyers
वह आराम कर सकता है।,he can rest
आप क्या लेंगे,what'll you have
तुम क्या लोगे,what'll you have
तुम क्या लोगी,what'll you have
वे टॉम और मैरी हैं।,they're tom and mary
मैं छींक रहा हूँ।,i am sneezing
मैं छींक रही हूँ।,i am sneezing
मेरे सभी दोस्तों को वह पसंद है।,all of my friends like her
स्कूल जाने का समय हो गया है।,it's time to go to school
मैं किसी भी जगह नहीं जाना चाहता।,i don't want to go any place
मैं किसी भी जगह नहीं जाना चाहती।,i don't want to go any place
यह मेरा कमरा है।,this is my room
कवी कविता लिखता है।,the poet writes poems
मैंने वह तुम्हारे लिये किया।,i did that for you
मैंने वह आपके लिये किया।,i did that for you
हम कामयाब होंगे।,we will succeed
मैं मैरी से प्यार करता था।,i loved mary
मैं मैरी से प्यार करती थी।,i loved mary
वह रही वेट्रेस।,there's the waitress
टॉम ने कल एक ख़त लिखा।,tom wrote a letter yesterday
कल टॉम ने एक चिट्ठी लिखी।,tom wrote a letter yesterday
वे सब टॉम पर हँसने लगे।,they all started laughing at tom
कोई भी ख़ुफ़िया योजना नहीं है।,there's no secret plan
टॉम लौट आयेगा।,tom will come back
यान्नी और स्कुरा दोनों वहाँ रह रहे थे।,yanni and skura were both living there
फ़्रांसीसी लोग चरमोत्कर्ष को ला पेतीत मोर्त छोटी मौत कहते हैं।,the french call orgasms la petite mort the little death
टॉम को आना ही होगा।,tom must come
तुम बना सकते हो।,you can make it
तुम बना सकती हो।,you can make it
आप बना सकते हैं।,you can make it
आप बना सकतीं हैं।,you can make it
क्या आप फ़्रांसीसी पढ़ते हैं,do you read french
क्या तुम फ़्रांसीसी पढ़ती हो,do you read french
क्या तुम फ़्रांसीसी पढ़ते हो,do you read french
टॉम आसपास ही कहीं है।,tom is somewhere nearby
मैं टॉम से तीन साल पहले मिला।,i met tom three years ago
मैं टॉम से तीन साल पहले मिली।,i met tom three years ago
यान्नी को पर्वत दिखा।,yanni saw the mountain
टॉम को स्कूल जाना पसंद नहीं है।,tom doesn't like going to school
मुझे पता है कि टॉम अमीर नहीं है।,i know tom's not rich
एस्पेरांतो अच्छी है।,esperanto is good
हम फ़ेसबुक पर बोलने लगे।,we started talking on facebook
उसके माता-पिता नास्तिक हैं।,his parents are atheist
उनके माता-पिता नास्तिक हैं।,his parents are atheist
तुम बहुत कुछ सीखोगे।,you'll learn a lot
तुम बहुत कुछ सीखोगी।,you'll learn a lot
आप बहुत कुछ सीखेंगे।,you'll learn a lot
आप बहुत कुछ सीखेंगी।,you'll learn a lot
टॉम ने तो दरवाज़ा बंद तक नहीं किया।,tom didn't even shut the door
कमरे में एक मेज़ है।,in the room there is a table
मैं गाड़ी साफ़ करता हूँ।,i clean the car
मैं गाड़ी साफ़ करती हूँ।,i clean the car
लड़के ने अपना हाथ अपनी जेब में डाला।,the boy put his hand in his pocket
तुम सिखाते हो हम सुनते हैं।,you teach we listen
आप सिखाते हो हम सुनते हैं।,you teach we listen
मैं बहुत मूत रहा हूँ।,i'm peeing a lot
मैं बहुत मूत रही हूँ।,i'm peeing a lot
फ़ादिल रोने लगा।,fadil started to cry
सामी ने अपना शिश्न बाहर निकाला।,sami pulled his penis out
तुम्हारा शिश्न बड़ा है।,your penis is big
आपका शिश्न बड़ा है।,your penis is big
क्या आपने कभी शिश्न चूसा है,have you ever sucked a penis
क्या तुमने कभी शिश्न चूसा है,have you ever sucked a penis
लैला ने सामी का शिश्न काट दिया।,layla cut off sami's penis
मीना ने अपने पती के शिश्न को चूमा।,meena kissed her husband's penis
मुझे लगता है कि उसके पास छोटा शिश्न है।,i think he has a small penis
मेरा शिश्न छोटा है।,my penis is small
टॉम के पास बड़ा शिश्न है।,tom has a big penis
मंगेश ने अपने पती के शिश्न को चूमा।,mangesh kissed his husband's penis
तुमने उसके शिश्न को चाटा।,you licked his penis
आपने उसके शिश्न को चाटा।,you licked his penis
तुमने उनके शिश्न को चाटा।,you licked his penis
आपने उनके शिश्न को चाटा।,you licked his penis
टॉम के पास छोटा शिश्न है।,tom has a small penis
सामी के पास शिश्न था और लैला के पास योनि थी।,sami had a penis and layla had a vagina
तुम्हारा शिश्न छोटा है।,your penis is small
आपका शिश्न छोटा है।,your penis is small
कौवे पंछी होते हैं।,crows are birds
कौवा काला है।,the crow is black
मैं कौवों पर पत्थर फेंक रहा हूँ।,i am throwing stones at crows
मैं कौवों पर पत्थर फेंक रही हूँ।,i am throwing stones at crows
कौवे होशियार होते हैं।,crows are smart
कौवे का घोसला है।,it's a crow's nest
कौवे ने अपने पंख फैलाये।,the crow spread his wings
वह कौवा है क्या,is that a crow
मेरी योनि खूबसूरत है,my vagina is beautiful
सामी के पास स्तन और योनि हो तो भी वह पुरुष है।,sami is a man even if he has breasts or a vagina
तुम्हारी चूत गिली है।,your pussy is wet
आपकी चूत गिली है।,your pussy is wet
वह मेरी चूत है।,that's my pussy
वह तो मेरी चूत है।,that's my pussy
टॉम का आवाज़ बदलने लगा है।,tom's voice has begun to change
टॉम ने अपना आवाज़ चढ़ाया नहीं।,tom didn't raise his voice
