English,Malayalam,length_eng_sentence,length_mal_sentence
tom picked his toys up off the floor and put them in the box,ടോം അവന്റെ കളിപ്പാട്ടങ്ങള് തറയില്നിന്നു പെറുക്കിയെടുത്തു ഒരു പെട്ടിയില്ലിട്ടു,14,7
and what about a coffee,ഒരു കാപ്പി കുടിച്ചാലോ,5,3
let's try to swim against the current,നമുക്ക് ഒഴുക്കിനെതിരെ നീന്താം,7,3
tom likes fried chicken,ടോമിന് പൊരിച്ച കോഴിയിറച്ചി ഇഷ്ട്ടമാണ്,4,4
sami only needs one computer,സമിക്ക് ഒരു കമ്പ്യൂട്ടറിന്റെ ആവശ്യമേയുള്ളൂ,5,4
it isn't a good idea,അതത്ര നല്ല ബുദ്ധിയല്ല,5,3
i wish i'd come a little earlier,ഞാന് ഇത്തിരി നേരത്തെ എത്തിയായിരുന്നെങ്കില്,7,4
i know tom still loves me,ടോമിന് ഇപ്പോഴും എന്നെ ഇഷ്ടമാണന്ന് എനിക്ക് അറിയാം,6,6
she did what she needed to do,അവള് ചെയ്യാനുള്ളത് അവള് ചെയ്തു,7,4
i wasn't talking about you,ഞാന് നിന്റെ കാര്യമല്ല പറഞ്ഞത്,5,4
tom is quite lucky,ടോം വളരെ ഭാഗ്യവാനാണ്,4,3
tom played volleyball in college,ടോം കോളേജില് വോളിബോള് കളിക്കുമായിരുന്നു,5,4
i've just been to the post office,ഞാന് ഇപ്പോള് പോസ്റ്റോഫീസില് പോയതേയുള്ളൂ,7,4
you disturb me a lot,നിങ്ങള് എന്നെ ഒത്തിരി ശല്യംചെയ്യുന്നു,5,4
there aren't any other options,വേറെ ഒരു വഴിയുമില്ല,5,3
tom is mary's brother,ടോം മേരിയുടെ സഹോദരനാണ്,4,3
what's the time,സമയം എത്രയായി,3,2
wanna bet,ബെറ്റ് വെക്കുന്നോ,2,2
wanna bet,പന്തയം വെക്കുന്നോ,2,2
you should pay back your debts,നീ നിന്റെ കടങ്ങള് വീട്ടണം,6,4
your father's supporters are not limited to his friends,നിന്റെ അച്ഛനെ പിന്തുണയ്ക്കുന്നത് അദേഹത്തിന്റെ സുഹൃത്തുക്കള് മാത്രമല്ല,9,6
i didn't leave the door unlocked,ഞാന് വാതില് അടക്കാതെ പോയില്ല,6,4
that's not our only problem,നമ്മുടെ പ്രശ്നം അത് മാത്രമല്ല,5,4
both of her cheeks turned red,അവളുടെ കവിളുകള് രണ്ടും ചുവന്നുതുടുത്തു,6,4
mary looks like she's a bit tired,കണ്ടിട്ട് മേരിക്ക് ക്ഷീണം ഉണ്ടെന്ന് തോന്നുന്നു,7,5
tom and mary have lost their jobs,ടോമിനും മേരിക്കും അവരുടെ ജോലി നഷ്ടമായി,7,5
he stood up,അയാള് എഴുന്നേറ്റുനിന്നു,3,2
he stood up,അവന് എഴുന്നേറ്റുനിന്നു,3,2
she stood up,അവള് എഴുന്നേറ്റുനിന്നു,3,2
five days later president taylor died,അഞ്ചു ദിവസം കഴിഞ്ഞു പ്രസിഡന്റ്റ് ടയിലര് മരിച്ചു,6,6
that'll be enough for now,ഇപ്പോഴത്തേക്ക് അതു മതിയാകും,5,3
i don't like mathematics very much,എനിക്ക് കണക്ക് അത്ര ഇഷ്ടമല്ല,6,4
it's dark outside,പുറത്ത് ഇരുട്ടാണ്,3,2
if i'd been a bird i could've flown to you,ഞാൻ ഒരു പക്ഷിയായിരുന്നെങ്കിൽ എനിക്ക് നിന്റെ അടുത്തേക്ക് പറന്നു വരാമായിരുന്നു,10,8
why don't you explain it all to tom,നീ എന്തുകൊണ്ടാണ് ഇത് ടോമിനോട് പറയാത്തത് ,8,6
he plays golf two or three times a month,അയാൾ മാസത്തില് രണ്ടു മൂന്ന് തവണ ഗോൾഫ് കളിക്കും,9,7
tom has already told mary what to bring to the party,പാർട്ടിയിലേക്ക് എന്താണ് കൊണ്ടുവരേണ്ടെന്ന് ടോം മേരി എടുക്കൽ പറഞ്ഞിട്ടുണ്ട്,11,7
you must be careful in choosing your friends,നീ കൂട്ടുകാരെ കണ്ടെത്തുമ്പോൾ സൂക്ഷിക്കണം,8,4
this rule needs to be changed,ഈ നിയമം മാറ്റിയെ പറ്റു,6,4
that girl over there doesn't have a mother,ധാ ആ കാണുന്ന പെണ്ണിന് അമ്മയില്ല,8,5
that cap is too small for me,ആ തൊപ്പി എനിക്ക് ചെറുതാണ് ,7,5
have i ever lied to you,ഞാൻ നിന്നോട് എപ്പോളെങ്കിലും കള്ളം പറഞ്ഞിട്ടുണ്ടോ ,6,6
i'll go wash my hands,ഞാൻ പോയി കൈ കഴുകട്ടെ,5,4
do you recognize me,എന്നെ മനസ്സിലായോ ,4,3
tom didn't appear to recognize me,ടോമിനെ കണ്ടിട്ട് എന്നെ മനസ്സിലായില്ലെന്ന് തോന്നുന്നു,6,5
you're just trying to scare me,നീ എന്നെ ചുമ്മാതെ പേടിപ്പിക്കാൻ നോക്കുകയാ,6,5
i didn't tell my friends i was going to australia,ഞാൻ ഓസ്‌ട്രെലിയയിൽ പോകുകയാണെന്ന് എന്റെ കൂട്ടുകാരോട് പറഞ്ഞട്ടില്ല,10,6
the river overflowed,ആ നദി കവിഞ്ഞൊഴുകി,3,3
layla was shaking like a leaf,ലെയ് ല ഒരു ഇലപോലെ വിറയ്ക്കുന്നുണ്ടായിരുന്നു,6,5
do you think you'd be able to do that before you go home today,ഇന്ന് വീട്ടിൽ പോകുന്നതിനു മുമ്പ് ചെയ്യാൻ പറ്റുമെന്ന് തോന്നുന്നുണ്ടോ ,14,8
they found each other,അവർ പരസ്പരം കണ്ടെത്തി,4,3
when will you finish your work,നിങ്ങളുടെ ജോലി എപ്പോഴാണ് കഴിയുന്നത് ,6,5
my mother is a kind soul,എന്റെ അമ്മ പാവമാ,6,3
tom has apparently not yet done that,ടോം ഇതുവരെ അത് ചെയ്തിട്ടില്ല,7,4
tom isn't going to know about it,ടോം ഇത് അറിയുവാൻ പോകുന്നില്ല,7,4
the game is starting to be interesting,അ കളി രസമായി തുടങ്ങി,7,4
the finger is broken,വിരൽ ഒടിഞ്ഞു,4,2
is he ok,അവനു കുഴപ്പമൊന്നുമില്ലലൊ,3,2
where did you work before you started working here,ഇവിടെ ജോലി തുടങ്ങുന്നതിനു മുമ്പ് എവിടെയാണ് ജോലി ചെയ്തുകൊണ്ടിരുന്നത് ,9,8
were you at the library yesterday afternoon,ഇന്നലെ ഗ്രന്ഥശാലയിൽ ഉണ്ടായിരുന്നോ,7,3
can you please say that again,ദയവിട്ട് അത് ഒന്നുകൂടി പറയാമോ,6,4
i'd like to see tom again,എനിക്ക് ടോമിനെ ഒന്നുകൂടി കാണണമെന്നുണ്ട് ,6,5
boston isn't all that far away,ബോസ്റ്റണിലേക്കു അധികം ദൂരം ഇല്ല ഇവിടുന്ന്,6,5
i felt that the timing wasn't right,എനിക്ക് ആ സമയം ശരിയല്ല എന്ന് തോന്നി,7,6
tom doesn't want help,ടോമിന് സഹായിക്കാൻ താത്പര്യം ഇല്ല,4,4
tom knew exactly where mary was,ടോമിന് കൃത്യമായി മേരി എവിടാണെന്ന് അറിയാമായിരുന്നു,6,5
i don't really want to go swimming today,ഇന്ന് നീന്താൻ പോകുവാൻ തോന്നുന്നില്ല,8,4
i knew something bad was about to happen,എനിക്കപ്പഴേ അറിയാമായിരുന്നു എന്തോ അശുഭം സംഭവിക്കാൻ പോകുകയാണെന്ന് ,8,7
i knew there would be nothing to do here,എനിക്ക് അറിയാമായിരുന്നു ഇവിടെ ഒന്നും ചെയ്യുവാൻ കാണില്ലെന്ന് ,9,7
tom isn't your boyfriend is he,ടോം നിന്റെ കാമുകൻ അല്ലലോ ,6,5
